=== Creating logs directory ===
=== Changing to work directory ===
=== Building bench_read_1pz ===
=== Picking sample files ===
Found and selected 100 files
=== Running benchmark with n_threads=32 (full per-file output) ===
path,file_size,n_cells,nnz,decoded_bytes,cold_ms,warm_ms
/mnt/home/besleya/quant/GSE261774/GSM8151503/counts.1pz,9305885,4059,11655668,93261584,733.884,725.69
/mnt/home/besleya/quant/GSE266427/GSM8246776/counts.1pz,15863034,77597,15718633,126059456,809.88,801.895
/mnt/home/besleya/quant/GSE154535/GSM4673009/counts.1pz,1815261,403,1803156,14426864,115.999,113.422
/mnt/home/besleya/quant/GSE121080/GSM3425687/counts.1pz,5510331,3019,6458811,51682568,387.147,385.168
/mnt/home/besleya/quant/GSE270533/GSM8346282/counts.1pz,1168937,838,987240,7901276,55.8482,53.6376
# SUMMARY: files=100 mean_cold_ms=747.263 median_cold_ms=304.582 p95_cold_ms=3075.65 mean_warm_ms=741.774 median_warm_ms=300.51 p95_warm_ms=3049.9 mean_decoded_bytes=9.97127e+07
# SUMMARY (parallel n_threads=32): wall_clock_ms=7788.34 throughput_mb_s=127.405 throughput_files_s=12.8397
=== Quick runs at different thread counts ===
=== Quick run with n_threads=1 ===
path,file_size,n_cells,nnz,decoded_bytes,cold_ms,warm_ms
/mnt/home/besleya/quant/GSE204864/GSM6199115/counts.1pz,513272,559,203344,1628992,12.7222,11.5379
/mnt/home/besleya/quant/GSE278558/GSM8548823/counts.1pz,23106047,91981,25314656,202885176,1373.89,1367.58
/mnt/home/besleya/quant/GSE216357/GSM6670922/counts.1pz,16742892,8645,21749405,174029824,1306.16,1295.66
/mnt/home/besleya/quant/GSE206391/GSM6252975/counts.1pz,5339970,10498,5481942,43897532,309.281,306.596
/mnt/home/besleya/quant/GSE206284/GSM6249257/counts.1pz,2774384,12268,2423644,19438228,116.444,113.579
/mnt/home/besleya/quant/GSE261774/GSM8151509/counts.1pz,4317027,2468,5033570,40278436,302.462,298.535
/mnt/home/besleya/quant/GSE211956/GSM6506117/gene_counts.1pz,6740497,3072,8791799,70346684,538.419,538.459
/mnt/home/besleya/quant/GSE250558/GSM7981573/counts.1pz,14995791,18441,18084082,144746424,976.703,969.701
/mnt/home/besleya/quant/GSE181422/GSM5502225/counts.1pz,17662515,72428,17897930,143473156,966.255,958.427
/mnt/home/besleya/quant/GSE152522/GSM4617170/counts.1pz,3578381,6745,3684239,29500896,188.817,190.741
/mnt/home/besleya/quant/GSE129826/GSM3722736/counts.1pz,35494404,12916,51269494,410207620,3322.62,3316.6
/mnt/home/besleya/quant/GSE241386/GSM7728058/counts.1pz,20307475,15600,24082308,192720868,1451.15,1446.19
/mnt/home/besleya/quant/GSE266546/GSM8249673/counts.1pz,2407450,15117,1732601,13921280,78.7748,79.7033
/mnt/home/besleya/quant/GSE250558/GSM7981580/counts.1pz,3678804,82319,2321332,18899936,109.187,110.943
